Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Muscle            ,   1.0789e+1,   2.0228e-1,   2.5620e+7,   1.3154e+1,   2.0607e+3,   3.5386e+2,
Muscle            ,   1.0802e+1,   2.0229e-1,   2.5618e+7,   1.3140e+1,   2.0595e+3,   3.5366e+2,
Muscle            ,   1.0814e+1,   2.0229e-1,   2.5617e+7,   1.3126e+1,   2.0582e+3,   3.5347e+2,
Muscle            ,   1.0827e+1,   2.0230e-1,   2.5616e+7,   1.3112e+1,   2.0569e+3,   3.5328e+2,
Muscle            ,   1.0839e+1,   2.0230e-1,   2.5614e+7,   1.3098e+1,   2.0556e+3,   3.5308e+2,
Muscle            ,   1.0852e+1,   2.0231e-1,   2.5613e+7,   1.3084e+1,   2.0543e+3,   3.5289e+2,
Muscle            ,   1.0864e+1,   2.0231e-1,   2.5612e+7,   1.3070e+1,   2.0530e+3,   3.5270e+2,
Muscle            ,   1.0877e+1,   2.0232e-1,   2.5610e+7,   1.3056e+1,   2.0517e+3,   3.5250e+2,
Muscle            ,   1.0889e+1,   2.0232e-1,   2.5609e+7,   1.3042e+1,   2.0504e+3,   3.5231e+2,
Muscle            ,   1.0902e+1,   2.0233e-1,   2.5608e+7,   1.3028e+1,   2.0491e+3,   3.5212e+2,
Muscle            ,   1.0914e+1,   2.0233e-1,   2.5606e+7,   1.3014e+1,   2.0478e+3,   3.5193e+2,
Muscle            ,   1.0927e+1,   2.0234e-1,   2.5605e+7,   1.3000e+1,   2.0465e+3,   3.5173e+2,
Muscle            ,   1.0940e+1,   2.0234e-1,   2.5604e+7,   1.2986e+1,   2.0452e+3,   3.5154e+2,
Muscle            ,   1.0952e+1,   2.0235e-1,   2.5602e+7,   1.2972e+1,   2.0440e+3,   3.5135e+2,
Muscle            ,   1.0965e+1,   2.0235e-1,   2.5601e+7,   1.2958e+1,   2.0427e+3,   3.5116e+2,
Muscle            ,   1.0977e+1,   2.0236e-1,   2.5600e+7,   1.2944e+1,   2.0414e+3,   3.5096e+2,
Muscle            ,   1.0990e+1,   2.0237e-1,   2.5598e+7,   1.2930e+1,   2.0401e+3,   3.5077e+2,
Muscle            ,   1.1003e+1,   2.0237e-1,   2.5597e+7,   1.2916e+1,   2.0388e+3,   3.5058e+2,
Muscle            ,   1.1015e+1,   2.0238e-1,   2.5596e+7,   1.2903e+1,   2.0375e+3,   3.5039e+2,
Muscle            ,   1.1028e+1,   2.0238e-1,   2.5594e+7,   1.2889e+1,   2.0362e+3,   3.5020e+2,
Muscle            ,   1.1041e+1,   2.0239e-1,   2.5593e+7,   1.2875e+1,   2.0350e+3,   3.5000e+2,
Muscle            ,   1.1054e+1,   2.0239e-1,   2.5591e+7,   1.2861e+1,   2.0337e+3,   3.4981e+2,
Muscle            ,   1.1066e+1,   2.0240e-1,   2.5590e+7,   1.2847e+1,   2.0324e+3,   3.4962e+2,
Muscle            ,   1.1079e+1,   2.0240e-1,   2.5589e+7,   1.2834e+1,   2.0311e+3,   3.4943e+2,
Muscle            ,   1.1092e+1,   2.0241e-1,   2.5587e+7,   1.2820e+1,   2.0298e+3,   3.4924e+2,
Muscle            ,   1.1105e+1,   2.0241e-1,   2.5586e+7,   1.2806e+1,   2.0286e+3,   3.4905e+2,
Muscle            ,   1.1117e+1,   2.0242e-1,   2.5584e+7,   1.2792e+1,   2.0273e+3,   3.4886e+2,
