Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Kidney            ,   1.1337e+1,   5.5549e-2,   2.7404e+7,   3.2140e+0,   3.4189e+3,   7.3917e+2,
Kidney            ,   1.1350e+1,   5.5561e-2,   2.7398e+7,   3.2117e+0,   3.4162e+3,   7.3875e+2,
Kidney            ,   1.1363e+1,   5.5572e-2,   2.7392e+7,   3.2094e+0,   3.4135e+3,   7.3832e+2,
Kidney            ,   1.1376e+1,   5.5584e-2,   2.7386e+7,   3.2070e+0,   3.4109e+3,   7.3790e+2,
Kidney            ,   1.1389e+1,   5.5596e-2,   2.7380e+7,   3.2047e+0,   3.4082e+3,   7.3748e+2,
Kidney            ,   1.1402e+1,   5.5607e-2,   2.7374e+7,   3.2024e+0,   3.4055e+3,   7.3706e+2,
Kidney            ,   1.1416e+1,   5.5619e-2,   2.7368e+7,   3.2001e+0,   3.4028e+3,   7.3663e+2,
Kidney            ,   1.1429e+1,   5.5631e-2,   2.7362e+7,   3.1978e+0,   3.4001e+3,   7.3621e+2,
Kidney            ,   1.1442e+1,   5.5642e-2,   2.7356e+7,   3.1955e+0,   3.3974e+3,   7.3579e+2,
Kidney            ,   1.1455e+1,   5.5654e-2,   2.7350e+7,   3.1932e+0,   3.3948e+3,   7.3537e+2,
Kidney            ,   1.1468e+1,   5.5666e-2,   2.7344e+7,   3.1909e+0,   3.3921e+3,   7.3495e+2,
Kidney            ,   1.1482e+1,   5.5678e-2,   2.7338e+7,   3.1886e+0,   3.3894e+3,   7.3452e+2,
Kidney            ,   1.1495e+1,   5.5689e-2,   2.7332e+7,   3.1863e+0,   3.3867e+3,   7.3410e+2,
Kidney            ,   1.1508e+1,   5.5701e-2,   2.7325e+7,   3.1840e+0,   3.3841e+3,   7.3368e+2,
Kidney            ,   1.1521e+1,   5.5713e-2,   2.7319e+7,   3.1818e+0,   3.3814e+3,   7.3326e+2,
Kidney            ,   1.1535e+1,   5.5725e-2,   2.7313e+7,   3.1795e+0,   3.3787e+3,   7.3284e+2,
Kidney            ,   1.1548e+1,   5.5737e-2,   2.7307e+7,   3.1772e+0,   3.3761e+3,   7.3242e+2,
Kidney            ,   1.1561e+1,   5.5749e-2,   2.7301e+7,   3.1750e+0,   3.3734e+3,   7.3200e+2,
Kidney            ,   1.1574e+1,   5.5761e-2,   2.7295e+7,   3.1727e+0,   3.3707e+3,   7.3157e+2,
Kidney            ,   1.1588e+1,   5.5773e-2,   2.7289e+7,   3.1704e+0,   3.3681e+3,   7.3115e+2,
Kidney            ,   1.1601e+1,   5.5785e-2,   2.7283e+7,   3.1682e+0,   3.3654e+3,   7.3073e+2,
Kidney            ,   1.1614e+1,   5.5797e-2,   2.7276e+7,   3.1659e+0,   3.3627e+3,   7.3031e+2,
Kidney            ,   1.1628e+1,   5.5809e-2,   2.7270e+7,   3.1637e+0,   3.3601e+3,   7.2989e+2,
Kidney            ,   1.1641e+1,   5.5821e-2,   2.7264e+7,   3.1615e+0,   3.3574e+3,   7.2947e+2,
Kidney            ,   1.1655e+1,   5.5833e-2,   2.7258e+7,   3.1592e+0,   3.3548e+3,   7.2905e+2,
Kidney            ,   1.1668e+1,   5.5845e-2,   2.7252e+7,   3.1570e+0,   3.3521e+3,   7.2863e+2,
Kidney            ,   1.1682e+1,   5.5857e-2,   2.7245e+7,   3.1548e+0,   3.3495e+3,   7.2821e+2,
Kidney            ,   1.1695e+1,   5.5869e-2,   2.7239e+7,   3.1525e+0,   3.3468e+3,   7.2779e+2,
Kidney            ,   1.1708e+1,   5.5881e-2,   2.7233e+7,   3.1503e+0,   3.3442e+3,   7.2737e+2,
Kidney            ,   1.1722e+1,   5.5894e-2,   2.7227e+7,   3.1481e+0,   3.3415e+3,   7.2694e+2,
Kidney            ,   1.1735e+1,   5.5906e-2,   2.7220e+7,   3.1459e+0,   3.3389e+3,   7.2652e+2,
Kidney            ,   1.1749e+1,   5.5918e-2,   2.7214e+7,   3.1437e+0,   3.3363e+3,   7.2610e+2,
Kidney            ,   1.1763e+1,   5.5930e-2,   2.7208e+7,   3.1415e+0,   3.3336e+3,   7.2568e+2,
Kidney            ,   1.1776e+1,   5.5943e-2,   2.7202e+7,   3.1393e+0,   3.3310e+3,   7.2526e+2,
Kidney            ,   1.1790e+1,   5.5955e-2,   2.7195e+7,   3.1371e+0,   3.3283e+3,   7.2484e+2,
Kidney            ,   1.1803e+1,   5.5967e-2,   2.7189e+7,   3.1349e+0,   3.3257e+3,   7.2442e+2,
Kidney            ,   1.1817e+1,   5.5980e-2,   2.7183e+7,   3.1327e+0,   3.3231e+3,   7.2400e+2,
Kidney            ,   1.1830e+1,   5.5992e-2,   2.7176e+7,   3.1305e+0,   3.3204e+3,   7.2358e+2,
Kidney            ,   1.1844e+1,   5.6004e-2,   2.7170e+7,   3.1284e+0,   3.3178e+3,   7.2316e+2,
Kidney            ,   1.1858e+1,   5.6017e-2,   2.7163e+7,   3.1262e+0,   3.3152e+3,   7.2274e+2,
Kidney            ,   1.1871e+1,   5.6029e-2,   2.7157e+7,   3.1240e+0,   3.3126e+3,   7.2232e+2,
Kidney            ,   1.1885e+1,   5.6042e-2,   2.7151e+7,   3.1218e+0,   3.3099e+3,   7.2190e+2,
Kidney            ,   1.1899e+1,   5.6054e-2,   2.7144e+7,   3.1197e+0,   3.3073e+3,   7.2148e+2,
Kidney            ,   1.1912e+1,   5.6067e-2,   2.7138e+7,   3.1175e+0,   3.3047e+3,   7.2106e+2,
Kidney            ,   1.1926e+1,   5.6079e-2,   2.7131e+7,   3.1154e+0,   3.3021e+3,   7.2065e+2,
Kidney            ,   1.1940e+1,   5.6092e-2,   2.7125e+7,   3.1132e+0,   3.2995e+3,   7.2023e+2,
Kidney            ,   1.1954e+1,   5.6104e-2,   2.7118e+7,   3.1111e+0,   3.2968e+3,   7.1981e+2,
Kidney            ,   1.1967e+1,   5.6117e-2,   2.7112e+7,   3.1089e+0,   3.2942e+3,   7.1939e+2,
Kidney            ,   1.1981e+1,   5.6130e-2,   2.7106e+7,   3.1068e+0,   3.2916e+3,   7.1897e+2,
Kidney            ,   1.1995e+1,   5.6142e-2,   2.7099e+7,   3.1047e+0,   3.2890e+3,   7.1855e+2,
Kidney            ,   1.2009e+1,   5.6155e-2,   2.7093e+7,   3.1025e+0,   3.2864e+3,   7.1813e+2,
Kidney            ,   1.2023e+1,   5.6168e-2,   2.7086e+7,   3.1004e+0,   3.2838e+3,   7.1771e+2,
Kidney            ,   1.2036e+1,   5.6180e-2,   2.7079e+7,   3.0983e+0,   3.2812e+3,   7.1729e+2,
Kidney            ,   1.2050e+1,   5.6193e-2,   2.7073e+7,   3.0962e+0,   3.2786e+3,   7.1687e+2,
Kidney            ,   1.2064e+1,   5.6206e-2,   2.7066e+7,   3.0941e+0,   3.2760e+3,   7.1645e+2,
Kidney            ,   1.2078e+1,   5.6219e-2,   2.7060e+7,   3.0920e+0,   3.2734e+3,   7.1604e+2,
Kidney            ,   1.2092e+1,   5.6231e-2,   2.7053e+7,   3.0899e+0,   3.2708e+3,   7.1562e+2,
Kidney            ,   1.2106e+1,   5.6244e-2,   2.7047e+7,   3.0878e+0,   3.2682e+3,   7.1520e+2,
Kidney            ,   1.2120e+1,   5.6257e-2,   2.7040e+7,   3.0857e+0,   3.2656e+3,   7.1478e+2,
Kidney            ,   1.2134e+1,   5.6270e-2,   2.7033e+7,   3.0836e+0,   3.2630e+3,   7.1436e+2,
Kidney            ,   1.2148e+1,   5.6283e-2,   2.7027e+7,   3.0815e+0,   3.2604e+3,   7.1394e+2,
