Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Lymph             ,   3.7282e+4,   5.3303e-1,   4.4781e+3,   5.7390e+1,   2.2237e+1,   3.6014e+0,
Lymph             ,   3.7325e+4,   5.3304e-1,   4.4761e+3,   5.7350e+1,   2.2224e+1,   3.5993e+0,
Lymph             ,   3.7368e+4,   5.3304e-1,   4.4741e+3,   5.7311e+1,   2.2211e+1,   3.5973e+0,
Lymph             ,   3.7411e+4,   5.3304e-1,   4.4720e+3,   5.7271e+1,   2.2198e+1,   3.5952e+0,
Lymph             ,   3.7454e+4,   5.3305e-1,   4.4700e+3,   5.7232e+1,   2.2186e+1,   3.5932e+0,
Lymph             ,   3.7497e+4,   5.3305e-1,   4.4680e+3,   5.7192e+1,   2.2173e+1,   3.5911e+0,
Lymph             ,   3.7540e+4,   5.3305e-1,   4.4660e+3,   5.7152e+1,   2.2160e+1,   3.5891e+0,
Lymph             ,   3.7584e+4,   5.3306e-1,   4.4640e+3,   5.7113e+1,   2.2147e+1,   3.5870e+0,
Lymph             ,   3.7627e+4,   5.3306e-1,   4.4619e+3,   5.7073e+1,   2.2134e+1,   3.5849e+0,
Lymph             ,   3.7670e+4,   5.3306e-1,   4.4599e+3,   5.7034e+1,   2.2121e+1,   3.5829e+0,
Lymph             ,   3.7714e+4,   5.3307e-1,   4.4579e+3,   5.6994e+1,   2.2108e+1,   3.5808e+0,
Lymph             ,   3.7757e+4,   5.3307e-1,   4.4559e+3,   5.6954e+1,   2.2095e+1,   3.5788e+0,
Lymph             ,   3.7801e+4,   5.3307e-1,   4.4539e+3,   5.6915e+1,   2.2082e+1,   3.5767e+0,
Lymph             ,   3.7844e+4,   5.3308e-1,   4.4519e+3,   5.6875e+1,   2.2069e+1,   3.5747e+0,
Lymph             ,   3.7888e+4,   5.3308e-1,   4.4499e+3,   5.6836e+1,   2.2056e+1,   3.5726e+0,
Lymph             ,   3.7931e+4,   5.3308e-1,   4.4479e+3,   5.6796e+1,   2.2043e+1,   3.5706e+0,
Lymph             ,   3.7975e+4,   5.3309e-1,   4.4459e+3,   5.6757e+1,   2.2030e+1,   3.5686e+0,
Lymph             ,   3.8019e+4,   5.3309e-1,   4.4439e+3,   5.6717e+1,   2.2017e+1,   3.5665e+0,
Lymph             ,   3.8063e+4,   5.3309e-1,   4.4419e+3,   5.6678e+1,   2.2005e+1,   3.5645e+0,
Lymph             ,   3.8107e+4,   5.3310e-1,   4.4399e+3,   5.6638e+1,   2.1992e+1,   3.5624e+0,
Lymph             ,   3.8150e+4,   5.3310e-1,   4.4379e+3,   5.6599e+1,   2.1979e+1,   3.5604e+0,
Lymph             ,   3.8194e+4,   5.3310e-1,   4.4359e+3,   5.6560e+1,   2.1966e+1,   3.5584e+0,
Lymph             ,   3.8238e+4,   5.3311e-1,   4.4339e+3,   5.6520e+1,   2.1953e+1,   3.5563e+0,
